Code,Name,Latitude,Longitude
ST-3500, 군자역2번출구,37.55758667,127.0796967
ST-3501, 광진구청 앞,37.53950119,127.0830002
ST-3502, 중곡역 1번출구,37.56565857,127.0842972
ST-3503, 광진유진스웰,37.55048752,127.1089554
ST-3504, 원일교회,37.53805161,127.0765991
ST-3505, 신양초교앞 교차로,37.5352211,127.0683975
ST-3506, 영동대교 북단,37.53701401,127.0610962
ST-3507, 어린이회관,37.54595184,127.0780029
ST-3508, 화양사거리,37.54822159,127.0678787
ST-3509, 세종사이버대학교,37.55341721,127.0731964
ST-3510, 중곡SK아파트앞,37.56864929,127.0862503
ST-3516, 구의아리수정수센터앞,37.54370499,127.0932465
ST-3517, 용마사거리,37.5625267,127.0822754
ST-3518, 군자역 7번출구뒤,37.55686188,127.0791397
ST-3520, 광진경찰서,37.54251862,127.0840836
ST-3521, 현대홈타운 뒷길,37.54342651,127.0966187
ST-3523, 건국대학교 과학관(이과대) 앞,37.54171753,127.0801697
ST-3524, 세종대학교,37.55023575,127.073822
ST-3528, 광진정보도서관,37.55059814,127.1105118
ST-3529, 어린이대공원정문,37.54978943,127.0759277
ST-3533, 건대입구역 사거리(롯데백화점),37.53913879,127.0706177
ST-3534, 건대입구역 5번출구 뒤,37.5401268,127.0694962
ST-3536, 중앙농협(자양동),37.53181076,127.0807419
ST-3537, 아차산 휴먼시아 아파트 옆,37.54848862,127.0937576
ST-3541, 커먼그라운드,37.54124832,127.06604
ST-3542, 래미안 구의파크 스위트,37.5450058,127.0900345
ST-500, 어린이대공원역 3번출구 앞,37.54706955,127.0742722
ST-501, 광진구의회 앞,37.53730774,127.0703507
ST-502, 뚝섬유원지역 1번출구 앞,37.53186035,127.0671921
ST-505, 자양사거리 광진아크로텔 앞,37.53701019,127.0822449
ST-515, 광양중학교 앞,37.53023529,127.0868301
ST-516, 광진메디칼 앞,37.54840469,127.0693665
ST-539, 군자교교차로,37.55979538,127.0742035
ST-540, 군자역 7번출구 베스트샵 앞,37.55603027,127.0786438
ST-542, 강변역 4번출구 뒤,37.53582382,127.094162
ST-543, 구의공원(테크노마트 앞),37.53596878,127.0946732
ST-544, 광남중학교,37.54072952,127.1029053
ST-546, 잠실대교북단 교차로,37.53247833,127.0850906
ST-548, 자양나들목,37.5297699,127.0748596
ST-549, 아차산역 3번출구,37.55122375,127.0897064
ST-551, 구의삼성쉐르빌 앞,37.54006195,127.0944977
ST-552, 대림아크로리버 앞,37.53657913,127.0929718
ST-553, 중곡 성원아파트 앞,37.57125473,127.0798035
ST-555, 구의3동주민센터,37.53784943,127.0921707
ST-571, 세종대학교 대양AI센터,37.55039597,127.0758591
ST-573, 구의문주차장 앞,37.54523087,127.0847321
ST-574, 아차산역4번출구,37.55184937,127.0889816
ST-575, 대원중고교 입구(대하빌딩),37.56429291,127.086937
ST-576, 광나루역 3번 출구,37.54483032,127.1042633
ST-577, 광진청소년수련관,37.54654694,127.1061325
ST-584, 광진광장 교통섬,37.54782867,127.0726318
ST-588, 뚝섬 유원지역,37.53268814,127.0674973
ST-590, 건국대학교 (입학정보관),37.53989029,127.0733643
ST-591, 건국대학교 (행정관),37.54277802,127.0753708
ST-592, 건국대학교 학생회관,37.54191208,127.0776367
ST-593,자양중앙나들목,37.52858734,127.0778732
ST-3543, 세종대학교(학술정보원),37.55137253,127.07444
ST-3563,구의7단지현대아파트,37.53680038,127.0908356
ST-3564,나루마당,37.54707336,127.0982895
ST-3566,우성4차아파트,37.53507233,127.0761108
ST-3569,건대병원후문,37.53956604,127.0724411
ST-3570,구의역 리버비스타 오피스텔,37.53809738,127.0890198
ST-3571,화양 APT(횡단보도 옆),37.54434967,127.0654068
ST-3573,광나루안전체험관,37.5513382,127.0767136
ST-3575, 자양사거리(서원빌딩),37.53657532,127.0825806
ST-3579,광진 캠퍼스시티,37.54788971,127.0674515
ST-3581,광진광장,37.54747009,127.073967
ST-3582,화양동 우체국,37.54798889,127.0695038
ST-3586,군자역 비채온 오피스텔,37.55771255,127.0772705
ST-3587,우성식품 앞,37.54246521,127.0942307
ST-3588,세종대학교(영실관),37.55237198,127.0735397
ST-3853, 어린이대공원역 2번출구,37.54764938,127.074707
ST-3860, 건국대학교 정문 앞,37.5465126,127.0757141
ST-3863, 동일로58길 입구,37.55775452,127.0729752
ST-3864, 광진소방서 앞,37.5450058,127.083374
ST-3865, 이튼타워리버 2차,37.53520966,127.0690002
ST-3868, 자양한강도서관,37.52916336,127.0779877
ST-3873, 동서울우편집중국 앞,37.53470993,127.0844727
ST-3878, 장로회신학대학교 주기철 기념관,37.54983902,127.1030273
ST-3879, 중랑천 뚝방길 산책로 입구,37.56628036,127.0774765
ST-3881, 신자초교입구 교차로,37.53298569,127.0757904
ST-3880, 홍련봉 공원,37.54896927,127.0935288
ST-3882, 자양2동 주민센터,37.52879333,127.0846329
ST-3886,광진구 민방위교육센터,37.5391922,127.0980148
ST-3890,웰츠타워 오피스텔,37.53803253,127.0835571
ST-3891,군자역4번출구,37.55681229,127.0810776
